date,state,income_mean,income_median,expenditure_mean,gini,poverty,year_x,exp_to_income_ratio,year_y,division,division_label,cpi_mean
2022-01-01,Melaka,8057,6210,5707,0.36963,4.2,2022,0.7083281618468412,2022,01,Food & Non-Alcoholic Beverages,145.04999999999998
2022-01-01,Melaka,8057,6210,5707,0.36963,4.2,2022,0.7083281618468412,2022,02,Alcoholic Beverages & Tobacco,170.28333333333333
2022-01-01,Melaka,8057,6210,5707,0.36963,4.2,2022,0.7083281618468412,2022,03,Clothing & Footwear,74.925
2022-01-01,Melaka,8057,6210,5707,0.36963,4.2,2022,0.7083281618468412,2022,04,"Housing, Water, Electricity & Gas",125.85833333333333
2022-01-01,Melaka,8057,6210,5707,0.36963,4.2,2022,0.7083281618468412,2022,05,Furnishings & Household Equipment,123.0
2022-01-01,Melaka,8057,6210,5707,0.36963,4.2,2022,0.7083281618468412,2022,06,Health,120.55
2022-01-01,Melaka,8057,6210,5707,0.36963,4.2,2022,0.7083281618468412,2022,07,Transport,109.46666666666665
2022-01-01,Melaka,8057,6210,5707,0.36963,4.2,2022,0.7083281618468412,2022,08,Communication,97.7
2022-01-01,Melaka,8057,6210,5707,0.36963,4.2,2022,0.7083281618468412,2022,09,Recreation & Culture,114.91666666666667
2022-01-01,Melaka,8057,6210,5707,0.36963,4.2,2022,0.7083281618468412,2022,10,Education,131.2
2022-01-01,Melaka,8057,6210,5707,0.36963,4.2,2022,0.7083281618468412,2022,11,Restaurants & Hotels,132.84166666666667
2022-01-01,Melaka,8057,6210,5707,0.36963,4.2,2022,0.7083281618468412,2022,12,Insurance & Financial Services,111.25
2022-01-01,Melaka,8057,6210,5707,0.36963,4.2,2022,0.7083281618468412,2022,13,Personal Care & Miscellaneous,117.15833333333335
2022-01-01,Melaka,8057,6210,5707,0.36963,4.2,2022,0.7083281618468412,2022,overall,Overall CPI,124.19166666666666
2022-01-01,Negeri Sembilan,6788,5226,4678,0.36853,4.4,2022,0.6891573364761343,2022,01,Food & Non-Alcoholic Beverages,142.75
2022-01-01,Negeri Sembilan,6788,5226,4678,0.36853,4.4,2022,0.6891573364761343,2022,02,Alcoholic Beverages & Tobacco,171.04166666666666
2022-01-01,Negeri Sembilan,6788,5226,4678,0.36853,4.4,2022,0.6891573364761343,2022,03,Clothing & Footwear,99.75833333333333
2022-01-01,Negeri Sembilan,6788,5226,4678,0.36853,4.4,2022,0.6891573364761343,2022,04,"Housing, Water, Electricity & Gas",121.90833333333335
2022-01-01,Negeri Sembilan,6788,5226,4678,0.36853,4.4,2022,0.6891573364761343,2022,05,Furnishings & Household Equipment,118.73333333333333
2022-01-01,Negeri Sembilan,6788,5226,4678,0.36853,4.4,2022,0.6891573364761343,2022,06,Health,127.35833333333333
2022-01-01,Negeri Sembilan,6788,5226,4678,0.36853,4.4,2022,0.6891573364761343,2022,07,Transport,117.93333333333334
2022-01-01,Negeri Sembilan,6788,5226,4678,0.36853,4.4,2022,0.6891573364761343,2022,08,Communication,102.59999999999998
2022-01-01,Negeri Sembilan,6788,5226,4678,0.36853,4.4,2022,0.6891573364761343,2022,09,Recreation & Culture,117.02499999999999
2022-01-01,Negeri Sembilan,6788,5226,4678,0.36853,4.4,2022,0.6891573364761343,2022,10,Education,115.09999999999998
2022-01-01,Negeri Sembilan,6788,5226,4678,0.36853,4.4,2022,0.6891573364761343,2022,11,Restaurants & Hotels,129.74166666666667
2022-01-01,Negeri Sembilan,6788,5226,4678,0.36853,4.4,2022,0.6891573364761343,2022,12,Insurance & Financial Services,101.59999999999998
2022-01-01,Negeri Sembilan,6788,5226,4678,0.36853,4.4,2022,0.6891573364761343,2022,13,Personal Care & Miscellaneous,112.10833333333333
2022-01-01,Negeri Sembilan,6788,5226,4678,0.36853,4.4,2022,0.6891573364761343,2022,overall,Overall CPI,126.98333333333333
2022-01-01,Pahang,5777,4753,4107,0.3077,6.3,2022,0.7109226241994114,2022,01,Food & Non-Alcoholic Beverages,142.99166666666667
2022-01-01,Pahang,5777,4753,4107,0.3077,6.3,2022,0.7109226241994114,2022,02,Alcoholic Beverages & Tobacco,177.04999999999998
2022-01-01,Pahang,5777,4753,4107,0.3077,6.3,2022,0.7109226241994114,2022,03,Clothing & Footwear,95.125
2022-01-01,Pahang,5777,4753,4107,0.3077,6.3,2022,0.7109226241994114,2022,04,"Housing, Water, Electricity & Gas",118.7
2022-01-01,Pahang,5777,4753,4107,0.3077,6.3,2022,0.7109226241994114,2022,05,Furnishings & Household Equipment,123.46666666666665
2022-01-01,Pahang,5777,4753,4107,0.3077,6.3,2022,0.7109226241994114,2022,06,Health,121.43333333333334
2022-01-01,Pahang,5777,4753,4107,0.3077,6.3,2022,0.7109226241994114,2022,07,Transport,114.55
2022-01-01,Pahang,5777,4753,4107,0.3077,6.3,2022,0.7109226241994114,2022,08,Communication,104.25
2022-01-01,Pahang,5777,4753,4107,0.3077,6.3,2022,0.7109226241994114,2022,09,Recreation & Culture,108.89999999999999
2022-01-01,Pahang,5777,4753,4107,0.3077,6.3,2022,0.7109226241994114,2022,10,Education,121.125
2022-01-01,Pahang,5777,4753,4107,0.3077,6.3,2022,0.7109226241994114,2022,11,Restaurants & Hotels,125.05
2022-01-01,Pahang,5777,4753,4107,0.3077,6.3,2022,0.7109226241994114,2022,12,Insurance & Financial Services,107.78333333333335
2022-01-01,Pahang,5777,4753,4107,0.3077,6.3,2022,0.7109226241994114,2022,13,Personal Care & Miscellaneous,116.72500000000001
2022-01-01,Pahang,5777,4753,4107,0.3077,6.3,2022,0.7109226241994114,2022,overall,Overall CPI,124.68333333333334
2022-01-01,Pulau Pinang,8267,6502,5322,0.37058,2.0,2022,0.6437643643401476,2022,01,Food & Non-Alcoholic Beverages,149.85833333333332
2022-01-01,Pulau Pinang,8267,6502,5322,0.37058,2.0,2022,0.6437643643401476,2022,02,Alcoholic Beverages & Tobacco,167.04166666666666
2022-01-01,Pulau Pinang,8267,6502,5322,0.37058,2.0,2022,0.6437643643401476,2022,03,Clothing & Footwear,90.83333333333333
2022-01-01,Pulau Pinang,8267,6502,5322,0.37058,2.0,2022,0.6437643643401476,2022,04,"Housing, Water, Electricity & Gas",125.99166666666666
2022-01-01,Pulau Pinang,8267,6502,5322,0.37058,2.0,2022,0.6437643643401476,2022,05,Furnishings & Household Equipment,120.29166666666667
2022-01-01,Pulau Pinang,8267,6502,5322,0.37058,2.0,2022,0.6437643643401476,2022,06,Health,130.98333333333332
2022-01-01,Pulau Pinang,8267,6502,5322,0.37058,2.0,2022,0.6437643643401476,2022,07,Transport,117.79166666666667
2022-01-01,Pulau Pinang,8267,6502,5322,0.37058,2.0,2022,0.6437643643401476,2022,08,Communication,96.02499999999999
2022-01-01,Pulau Pinang,8267,6502,5322,0.37058,2.0,2022,0.6437643643401476,2022,09,Recreation & Culture,113.7
2022-01-01,Pulau Pinang,8267,6502,5322,0.37058,2.0,2022,0.6437643643401476,2022,10,Education,122.23333333333333
2022-01-01,Pulau Pinang,8267,6502,5322,0.37058,2.0,2022,0.6437643643401476,2022,11,Restaurants & Hotels,142.59166666666667
2022-01-01,Pulau Pinang,8267,6502,5322,0.37058,2.0,2022,0.6437643643401476,2022,12,Insurance & Financial Services,115.7
2022-01-01,Pulau Pinang,8267,6502,5322,0.37058,2.0,2022,0.6437643643401476,2022,13,Personal Care & Miscellaneous,124.61666666666666
2022-01-01,Pulau Pinang,8267,6502,5322,0.37058,2.0,2022,0.6437643643401476,2022,overall,Overall CPI,128.9
